年份,正統年號,年號二,年號三,年號四
228,太和(曹叡)2,建興(劉禪)6,黃武(孫權)7,
229,太和(曹叡)3,建興(劉禪)7,黃龍(孫權)1,
230,太和(曹叡)4,建興(劉禪)8,黃龍(孫權)2,
231,太和(曹叡)5,建興(劉禪)9,黃龍(孫權)3,
232,太和(曹叡)6,建興(劉禪)10,嘉禾(孫權)1,
233,青龍(曹叡)1,建興(劉禪)11,嘉禾(孫權)2,
234,青龍(曹叡)2,建興(劉禪)12,嘉禾(孫權)3,
235,青龍(曹叡)3,建興(劉禪)13,嘉禾(孫權)4,
236,青龍(曹叡)4,建興(劉禪)14,嘉禾(孫權)5,
237,景初(曹叡)1,建興(劉禪)15,嘉禾(孫權)6,紹漢(公孫淵)1
238,景初(曹叡)2,延熙(劉禪)1,赤烏(孫權)1,紹漢(公孫淵)2
239,景初(曹叡)3,延熙(劉禪)2,赤烏(孫權)2,
240,正始(曹芳)1,延熙(劉禪)3,赤烏(孫權)3,
241,正始(曹芳)2,延熙(劉禪)4,赤烏(孫權)4,
242,正始(曹芳)3,延熙(劉禪)5,赤烏(孫權)5,
243,正始(曹芳)4,延熙(劉禪)6,赤烏(孫權)6,
244,正始(曹芳)5,延熙(劉禪)7,赤烏(孫權)7,
245,正始(曹芳)6,延熙(劉禪)8,赤烏(孫權)8,
246,正始(曹芳)7,延熙(劉禪)9,赤烏(孫權)9,
247,正始(曹芳)8,延熙(劉禪)10,赤烏(孫權)10,
248,正始(曹芳)9,延熙(劉禪)11,赤烏(孫權)11,
249,嘉平(曹芳)1,延熙(劉禪)12,赤烏(孫權)12,
250,嘉平(曹芳)2,延熙(劉禪)13,赤烏(孫權)13,
251,嘉平(曹芳)3,延熙(劉禪)14,太元(孫權)1,
252,嘉平(曹芳)4,延熙(劉禪)15,建興(孫亮)1,神鳳(孫權)1
253,嘉平(曹芳)5,延熙(劉禪)16,建興(孫亮)2,
254,正元(曹髦)1,延熙(劉禪)17,五鳳(孫亮)1,
255,正元(曹髦)2,延熙(劉禪)18,五鳳(孫亮)2,
256,甘露(曹髦)1,延熙(劉禪)19,太平(孫亮)1,
257,甘露(曹髦)2,延熙(劉禪)20,太平(孫亮)2,
258,甘露(曹髦)3,景耀(劉禪)1,永安(孫休)1,
259,甘露(曹髦)4,景耀(劉禪)2,永安(孫休)2,
260,景元(曹奐)1,景耀(劉禪)3,永安(孫休)3,
261,景元(曹奐)2,景耀(劉禪)4,永安(孫休)4,
262,景元(曹奐)3,景耀(劉禪)5,永安(孫休)5,
263,景元(曹奐)4,炎興(劉禪)1,永安(孫休)6,
264,咸熙(曹奐)1,,元興(孫皓)1,
265,咸熙(曹奐)2,,甘露(孫皓)1,
266,,,寶鼎(孫皓)1,
267,,,寶鼎(孫皓)2,
268,,,寶鼎(孫皓)3,
269,,,建衡(孫皓)1,
270,,,建衡(孫皓)2,
271,,,建衡(孫皓)3,
272,,,鳳凰(孫皓)1,
273,,,鳳凰(孫皓)2,
274,,,鳳凰(孫皓)3,
275,,,天冊(孫皓)1,
276,,,天璽(孫皓)1,
277,,,天紀(孫皓)1,
278,,,天紀(孫皓)2,
279,,,天紀(孫皓)3,
280,,,天紀(孫皓)4,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
